height(X),weight(y),Xy,X^2,Y^2,,,,,,,
58,115,8856,5184,15129,,Download the file  - women.csv,,,,,
59,117,11289,5041,25281,,Do the Descriptive Stats on both the Columns,,,,,
60,120,8540,4900,14884,,Correlation Analysis,,,,,
61,123,10350,4761,22500,,,,height(X),,weight,
62,126,9928,4624,21316,,,,,,,
63,129,9514,4489,20164,Numerator,7950,,Mean,8363.214286,Mean,136.7333333
64,132,9174,4356,19321,1925775,,,Standard Error,4255.141215,Standard Error,4.001745651
65,135,8775,4225,18225,1917825,,,Median,4160.5,Median,135
66,139,7744,4096,14641,Denominator,12503.96737,,Mode,#N/A,Mode,#N/A
67,142,8127,3969,16641,,,,Standard Deviation,15921.28056,Standard Deviation,15.49869426
68,146,7812,3844,15876,Correlation,0.635798204,,Sample Variance,253487174.6,Sample Variance,240.2095238
69,150,7503,3721,15129,Denom1,,,Kurtosis,13.96832108,Kurtosis,-1.040714697
70,154,7200,3600,14400,64.80740698,,,Skewness,3.735732054,Skewness,0.281429736
71,159,6903,3481,13689,192.9404053,,,Range,60291,Range,49
72,164,6670,3364,13225,,,,Minimum,3364,Minimum,115
975,1967,128385,63655,260421,,0.635798204,,Maximum,63655,Maximum,164
,,,,,,,,Sum,117085,Sum,2051
,,,,,,,,Count,14,Count,15
,,,,,height(X),weight(y),,,,,
,,,,height(X),1,,,,,,
,,,,weight(y),0.995494768,1,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Brand1,Barnd2,Rx,Ry,D,D2,,,,,,
72,123,15,6,9,81,,,,,,
71,159,14,15,-1,1,,,,,,
70,122,13,5,8,64,,,,,,
69,150,12,14,-2,4,,,,,,
68,146,11,13,-2,4,,,,,,
67,142,10,12,-2,4,,,,,,
66,139,9,11,-2,4,,,,,,
65,135,8,10,-2,4,,,,,,
64,121,7,4,3,9,,,,,,
63,129,6,9,-3,9,,,,,,
62,126,5,8,-3,9,,,,,,
61,123,4,6,-2,4,,,,,,
60,120,3,3,0,0,,,,,,
59,117,2,2,0,0,,,,,,
58,115,1,1,0,0,,,,,,
,,,,,197,,,,,,
